AtcoCode,PlateCode,CommonName,CommonNameGA,ShortCommonName,ShortCommonNameGA,Street,NptgLocalityRef,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,isActive
8260LL10122,10122,Lourdesville Home,TA Lourdesville,Lourdesville Home,TA Lourdesville,,E0826268,672374,710565,53.1406861254502,-6.91826747418463,BCT,CUS,OTH,N,,826,TRUE
8260LL10140,10140,Lourdesville Home,TA Lourdesville,Lourdesville Home,TA Lourdesville,,E0826268,672376,710558,53.1406229544941,-6.91823916754236,BCT,CUS,OTH,N,,826,TRUE
8260LL10115,10115,Cuainn Mhuire,Cuainn Mhuire,Cuainn Mhuire,Cuainn Mhuire,,E0826308,666690,695474,53.0058199802521,-7.00633522702098,BCT,CUS,OTH,N,,826,TRUE
8260LL10146,10146,Cuainn Mhuire,Cuainn Mhuire,Cuainn Mhuire,Cuainn Mhuire,,E0826308,666698,695442,53.0055314294229,-7.0062226531916,BCT,CUS,OTH,N,,826,TRUE
8260LL10114,10114,Athy Hospital,Ospidéal Átha Í,Athy Hospital,Ospidéal Átha Í,,E0826002,667299,694617,52.9980427597376,-6.99744122057745,BCT,CUS,OTH,N,,826,TRUE
8260LL10147,10147,Athy Hospital,Ospidéal Átha Í,Athy Hospital,Ospidéal Átha Í,,E0826002,667298,694623,52.9980968017909,-6.99745486622438,BCT,CUS,OTH,N,,826,TRUE
8260LL10112,10112,Woodstock Doyles,Coill an Chip Doyles,Woodstock Doyles,Coill an Chip Doyles,,E0826002,667836,693961,52.9920801954805,-6.98958045897097,BCT,CUS,OTH,N,,826,TRUE
8260LL10116,10116,Newtownbert,Baile Nua Bheirt,Newtownbert,Baile Nua Bheirt,,E0826933,665929,696950,53.0191776716794,-7.01737086106344,BCT,CUS,OTH,N,,826,TRUE
8260LL10145,10145,Newtownbert,Baile Nua Bheirt,Newtownbert,Baile Nua Bheirt,,E0826933,665947,696943,53.0191125524667,-7.01710405546375,BCT,CUS,OTH,N,,826,TRUE
8260LL10120,10120,Walterstown,Baile Bhaltair,Walterstown,Baile Bhaltair,,E0826178,669612,706329,53.1029901371176,-6.96046071984172,BCT,CUS,OTH,N,,826,TRUE
8260PB10033,10033,Monread Avenue,Ascaill Mhóin Réad,Monread Avenue,Ascaill Mhóin Réad,,E0826958,689442,720304,53.2255982558009,-6.66050677876127,BCT,MKD,OTH,N,,826,TRUE
8260PB10043,10043,College Road,Bóthar an Choláiste,College Road,Bóthar an Choláiste,,E0826054,687533,727826,53.2934989875487,-6.6870194296235,BCT,CUS,OTH,N,,826,TRUE
8260PB10057,10057,College Road,Bóthar an Choláiste,College Road,Bóthar an Choláiste,,E0826054,687538,727833,53.2935610545722,-6.68694252311088,BCT,CUS,OTH,N,,826,TRUE
8260PB010044,10044,Hillview Heights,Arda Rc an Chnoic,Hillview Heights,Arda Rc an Chnoic,,E0826054,687447,728130,53.2962445113856,-6.6882253551622,BCT,MKD,OTH,N,,826,TRUE
8260PB10045,10045,Rathcoffey,Ráth Chofaigh,Rathcoffey,Ráth Chofaigh,,E0826966,688058,732361,53.3341571403331,-6.67788819585792,BCT,MKD,OTH,E,,826,TRUE
8260PB10055,10055,Rathcoffey,Ráth Chofaigh,Rathcoffey,Ráth Chofaigh,,E0826966,688054,732357,53.3341218674267,-6.67794934616855,BCT,MKD,OTH,W,,826,TRUE
8260PB10046,10046,Maynooth Town FC,CP Maigh Nuad,Maynooth Town FC,CP Maigh Nuad,,E0826015,692111,736537,53.3709859277519,-6.61583994550388,BCT,MKD,OTH,NW,,826,TRUE
8260PB10054,10054,Maynooth Town FC,CP Maigh Nuad,Maynooth Town FC,CP Maigh Nuad,,E0826015,692060,736443,53.3701502890237,-6.6166334481259,BCT,MKD,OTH,SE,,826,TRUE
8260PB10047,10047,Castle Dawson,Caisleán Dhásain,Castle Dawson,Caisleán Dhásain,,E0826015,692857,736982,53.374853415218,-6.60450267701822,BCT,MKD,OTH,E,,826,TRUE
8260PB10053,10053,Castle Dawson,Caisleán Dhásain,Castle Dawson,Caisleán Dhásain,,E0826015,692750,736942,53.374512830054,-6.60612193501547,BCT,MKD,OTH,W,,826,TRUE
8260PB10048,10048,Newtown Grove,Garrán an Bhaile Nua,Newtown Grove,Garrán an Bhaile Nua,,E0826015,693342,737089,53.3757293107237,-6.5971846718235,BCT,MKD,OTH,E,,826,TRUE
8260PB10052,10052,Newtown Grove,Garrán an Bhaile Nua,Newtown Grove,Garrán an Bhaile Nua,,E0826015,693256,737073,53.3756007419323,-6.59848144173012,BCT,MKD,OTH,W,,826,TRUE
8260PB10049,10049,Maynooth University,Ollscoil Mhá Nuad,Maynooth University,Ollscoil Mhá Nuad,,E0826015,693555,737585,53.3801478063105,-6.59383779039148,BCT,MKD,OTH,N,,826,TRUE
8260PB10050,10050,Leixlip Village,Léim an Bhradáin,Leixlip Village,Léim an Bhradáin,,E0826046,700445,735888,53.3636379227684,-6.49085597159246,BCT,MKD,OTH,E,,826,TRUE
8260LL10051,10051,Maynooth University,Ollscoil Mhá Nuad,Maynooth University,Ollscoil Mhá Nuad,,E0826015,693565,737564,53.3799573686854,-6.59369375395232,BCT,MKD,OTH,S,,826,TRUE
8260PB10056,10056,Hillview Heights,Arda Rc an Chnoic,Hillview Heights,Arda Rc an Chnoic,,E0826824,687454,728280,53.2975910532598,-6.68807907714712,BCT,MKD,OTH,S,,826,TRUE
8260PB10058,10058,Clane Main Street,Príomhsráid Chlaonadh,Clane Main Street,Príomhsráid Chlaonadh,,E0826054,687610,727484,53.2904135217713,-6.68595908493849,BCT,MKD,OTH,S,,826,TRUE
8260PB10064,10064,Sallins Roundabout,Timp na Solláin,Sallins Roundabout,Timp na Solláin,R407,E0826862,689082,721882,53.2398365074258,-6.6654556758512,BCT,CUS,OTH,N,,826,TRUE
8260DB007694,7694,Carton Grove,Garrán an Chartúin,Carton Grove,Garrán an Chartúin,,E0826015,694646,737748,53.3814179784784,-6.57739639830972,BCT,MKD,OTH,W,,826,TRUE
8260DB007704,7704,Carton Grove,Garrán an Chartúin,Carton Grove,Garrán an Chartúin,,E0826858,694618,737761,53.3815397852005,-6.57781322569265,BCT,MKD,OTH,E,,826,TRUE
826000007,,Fire Station,,,,,E0826002,667582,694451,52.9965154571109,-6.99326075391376,BCT,CUS,OTH,N,,826,TRUE
826000006,,Fitzpatrick's Service Station,,,,,E0826096,663337,710117,53.1378106252109,-7.05340521178203,BCT,CUS,OTH,N,,826,TRUE
8260GD10267,10267,Carbury,Cairbre,Carbury,Cairbre,,E0826050,668991,734184,53.3533658365584,-6.96370656344489,BCT,MKD,OTH,NE,,826,TRUE
8260GD10268,10268,Carbury,Cairbre,Carbury,Cairbre,,E0826050,668995,734175,53.3532844459135,-6.9636484531383,BCT,MKD,OTH,W,,826,TRUE
826000011,,King Service Station,,,,,E0826392,667929,695042,53.0017823416965,-6.9879683441444,BCT,CUS,OTH,N,,826,TRUE
826000010,,McLoughlins Service Station,,,,,E0826142,679547,714095,53.1713821728804,-6.81020419125863,BCT,CUS,OTH,N,,826,TRUE
826000012,,Nursery Junction,,,,,E0826239,681673,700944,53.0528954340652,-6.7817578392126,BCT,CUS,OTH,N,,826,TRUE
826000008,,Athgarvan Road,,,,,E0826001,680643,714920,53.1786301189516,-6.79360715568077,BCT,CUS,OTH,N,,826,TRUE
826000005,,Mountain View,,,,,E0826040,680939,711845,53.1509557282971,-6.78995765499192,BCT,CUS,OTH,N,,826,TRUE
8260DB007712,7712,Lough na Mona,Lough na Mona,Lough na Mona,Lough na Mona,,E0826597,698886,736037,53.3652703157928,-6.51422401298012,BCT,CUS,OTH,N,,826,TRUE
8260GD10386,10386,Japanese Gardens,Gairdíní Seapánacha,Japanese Gardens,Gairdíní Seapánacha,,E0826268,673523,710943,53.143925458037,-6.90101076014908,BCT,CUS,OTH,N,,826,TRUE
826000001,,Maynooth University Library,,,,,E0826015,693063,737733,53.3815643241363,-6.60118670457978,BCT,CUS,OTH,N,,826,TRUE
8260B1337301,133731,Kelleghers Cross,Crois Kellegher,Kelleghers Cross,Crois Kellegher,,E0826718,684004,741856,53.4201256081706,-6.73621535751597,BCT,MKD,OTH,W,,826,TRUE
8260DB007822,7822,Intel Campus 1,Campas Intel 1,Intel Campus 1,Campas Intel 1,,E0826400,698279,737064,53.3746099376477,-6.52302176753403,BCT,MKD,OTH,N,,826,TRUE
8260DB007820,7820,River Forest ,Foraois na hAbhann,River Forest ,Foraois na hAbhann,,E0826830,700379,736855,53.3723377662513,-6.49154030637718,BCT,MKD,OTH,N,,826,TRUE
