Route_No,Comments_1,Shape_Leng,cdo,twoway,sruface_ch,bollardpro,temporary,mandatory,width,surface_ch,buslane,OBJECTID,datasource,classifica,classifi_1,cyclelane,shareduse,segregated,trafficfre,signedrout,oneside,twoway_sin,oneplus,review,difference,gid,MERGE_SRC,Shape_Le_1
,,196.18613867400,,"0","0","0","0","0",0.00000000000,"1","0","1133",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","980",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,196.18613867400
,,416.71982923700,,"0","0","0","0","0",0.00000000000,"1","0","1134",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","981",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,416.71982923700
,,245.89122041500,,"0","0","0","0","0",0.00000000000,"0","0","1135",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","1","1363",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,245.89122041500
,,70.22331620600,,"0","0","0","0","0",0.00000000000,"1","0","1136",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","1378",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,70.22331620600
,,60.26008190190,,"0","0","0","0","0",0.00000000000,"0","1","1137",gda_base_cycle_network,"segregatedcyclelane;buslane",,"0","0","1","0","0","0","1","1","1","1","1428",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,60.26008190190
,,52.29552150130,,"0","0","0","0","0",0.00000000000,"0","0","1138",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","1","1464",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,52.29552150130
,,115.90000734200,,"0","0","0","0","0",0.00000000000,"1","0","1139",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","1511",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,115.90000734200
,,105.76442789500,,"0","0","0","0","0",0.00000000000,"1","1","1140",gda_base_cycle_network,"surfacechange;buslane",,"0","0","0","0","0","0","1","1","1","1","1514",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,105.76442789500
,,25.65238881630,,"0","0","0","0","0",0.00000000000,"0","1","1141",gda_base_cycle_network,buslane,,"0","0","0","0","0","0","1","0","1","1","1574",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,25.65238881630
,,82.71862887900,,"0","0","0","0","0",0.00000000000,"0","0","1142",gda_base_cycle_network,shareduse,,"0","1","0","0","0","0","1","0","1","1","1549",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,82.71862887900
,,259.55155911600,,"0","0","0","0","0",0.00000000000,"0","0","1143",gda_base_cycle_network,segregatedcyclelane,,"0","0","1","0","0","0","1","0","1","1","1602",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,259.55155911600
,,28.87432128780,,"0","0","0","0","0",0.00000000000,"0","1","1144",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","1678",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,28.87432128780
,,35.44687600630,,"0","0","0","0","0",0.00000000000,"1","1","1145",gda_base_cycle_network,"surfacechange;buslane",,"0","0","0","0","0","0","1","1","1","1","1697",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,35.44687600630
,,127.50387594700,,"0","0","0","0","0",0.00000000000,"0","0","1146",gda_base_cycle_network,shareduse,,"0","1","0","0","0","0","1","0","1","1","1751",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,127.50387594700
,,66.66287301500,,"0","0","0","0","0",0.00000000000,"0","0","1147",gda_base_cycle_network,"shareduse;cyclelane",,"1","1","0","0","0","0","1","1","1","1","1769",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,66.66287301500
,,64.42428949590,,"0","0","0","0","0",0.00000000000,"0","0","1148",gda_base_cycle_network,shareduse,,"0","1","0","0","0","0","1","0","1","1","1794",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,64.42428949590
,,154.51660581500,,"0","0","0","0","0",0.00000000000,"0","0","1149",gda_base_cycle_network,shareduse,,"0","1","0","0","0","0","1","0","1","1","1811",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,154.51660581500
,,175.43682883300,,"0","0","0","0","0",0.00000000000,"0","1","1150",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","2000",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,175.43682883300
,,114.88248411300,,"0","0","0","0","0",0.00000000000,"0","1","1151",gda_base_cycle_network,buslane,,"0","0","0","0","0","0","1","0","1","1","2017",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,114.88248411300
,,29.48196346470,,"0","0","0","0","0",0.00000000000,"1","1","1152",gda_base_cycle_network,"surfacechange;buslane",,"0","0","0","0","0","0","1","1","1","1","2261",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,29.48196346470
,,608.05900262500,,"0","0","0","0","0",0.00000000000,"0","0","1153",gda_base_cycle_network,shareduse,,"0","1","0","0","0","0","1","0","1","1","2280",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,608.05900262500
,,123.60211036200,,"0","0","0","0","0",0.00000000000,"0","0","1154",gda_base_cycle_network,shareduse,,"0","1","0","0","0","0","1","0","1","1","2334",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,123.60211036200
,,40.18867263300,,"0","0","0","0","0",0.00000000000,"1","0","1155",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","2369",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,40.18867263300
,,43.69671381740,,"0","0","0","0","0",0.00000000000,"0","1","1156",gda_base_cycle_network,buslane,,"0","0","0","0","0","0","1","0","1","1","2403",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,43.69671381740
,,125.33064423400,,"0","0","0","0","0",0.00000000000,"1","0","1157",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","2484",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,125.33064423400
,,206.97924199600,,"0","0","0","0","0",0.00000000000,"0","1","1158",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","2529",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,206.97924199600
,,127.02922962900,,"0","0","0","0","0",0.00000000000,"0","1","1159",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","2646",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,127.02922962900
,,15.59505732540,,"0","0","0","0","0",0.00000000000,"1","0","1160",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","2781",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,15.59505732540
,,236.31624669800,,"0","0","0","0","0",0.00000000000,"0","1","1161",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","2851",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,236.31624669800
,,278.96825230400,,"0","0","0","0","0",0.00000000000,"1","0","1162",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","2871",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,278.96825230400
,,24.84873925620,,"0","0","0","0","0",0.00000000000,"1","0","1163",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","0","2961",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,24.84873925620
,,210.56567103700,,"0","0","0","0","0",0.00000000000,"0","1","1164",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","3006",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,210.56567103700
,,188.83078640600,,"0","0","0","0","0",0.00000000000,"0","0","1165",gda_base_cycle_network,shareduse,,"0","1","0","0","0","0","1","0","1","1","3057",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,188.83078640600
,,429.11535940300,,"0","0","0","0","0",0.00000000000,"0","1","1166",gda_base_cycle_network,buslane,,"0","0","0","0","0","0","1","0","1","1","3058",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,429.11535940300
,,80.86539822330,,"0","0","0","0","0",0.00000000000,"1","1","1167",gda_base_cycle_network,"surfacechange;buslane",,"0","0","0","0","0","0","1","1","1","1","3079",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,80.86539822330
,,53.76370102100,,"0","0","0","0","0",0.00000000000,"1","1","1168",gda_base_cycle_network,"surfacechange;buslane",,"0","0","0","0","0","0","1","1","1","1","3088",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,53.76370102100
,,380.25564919000,,"0","0","0","0","0",0.00000000000,"1","1","1169",gda_base_cycle_network,"surfacechange;buslane",,"0","0","0","0","0","0","1","1","1","1","3150",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,380.25564919000
